City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
185,Katsuura,JP,2021-05-31 22:15:50,35.1333,140.3,67.19,85,83,14.16
186,Naze,JP,2021-05-31 22:15:09,28.3667,129.4833,74.32,70,59,19.77
187,Isangel,VU,2021-05-31 22:15:50,-19.55,169.2667,77.11,61,75,13.69
188,Vilhena,BR,2021-05-31 22:15:51,-12.7406,-60.1458,77.22,65,0,5.75
189,Sitka,US,2021-05-31 22:15:52,57.0531,-135.33,53.49,87,90,3.44
190,Saint-Francois,FR,2021-05-31 22:15:52,46.4154,3.9054,62.19,74,0,1.14
191,Butaritari,KI,2021-05-31 22:14:50,3.0707,172.7902,83.59,77,76,19.04
192,Huarmey,PE,2021-05-31 22:15:53,-10.0681,-78.1522,68.86,80,93,9.71
193,Mahebourg,MU,2021-05-31 22:11:40,-20.4081,57.7,70.25,74,3,8.37
194,Constitucion,CL,2021-05-31 22:15:47,-35.3333,-72.4167,57.97,94,84,5.5
195,Toamasina,MG,2021-05-31 22:15:53,-18.1667,49.3833,73.4,94,40,3.44
196,Sheridan,US,2021-05-31 22:15:52,44.8333,-106.9173,79.18,27,1,3.0
197,Agadir,MA,2021-05-31 22:15:54,30.4202,-9.5982,64.85,81,1,3.49
198,Victoria,HK,2021-05-31 22:12:31,22.2855,114.1577,81.32,95,100,3.87
199,Zhezkazgan,KZ,2021-05-31 22:15:55,47.8043,67.7144,68.59,63,95,6.4
200,Lalgudi,IN,2021-05-31 22:15:55,10.8667,78.8333,82.99,62,100,12.82
201,Codrington,AU,2021-05-31 22:14:56,-38.2667,141.9667,47.37,45,99,10.8
202,Cherskiy,RU,2021-05-31 22:14:23,68.75,161.3,61.54,26,100,11.12
203,Utiel,ES,2021-05-31 22:15:56,39.5667,-1.2,60.1,70,99,5.5
204,Totness,SR,2021-05-31 22:15:56,5.8833,-56.3167,77.76,88,100,13.04
205,Gazojak,TM,2021-05-31 22:15:57,41.1875,61.4036,85.62,21,0,9.71
206,Quelimane,MZ,2021-05-31 22:15:18,-17.8786,36.8883,71.55,88,0,2.3
207,Portoferraio,IT,2021-05-31 22:15:58,42.8115,10.3146,65.08,66,2,7.94
